,race_id,office,loc_date_id,state,abbrev,year,GOP_win,winner,rival,pred_GOP,pred_DEM,unopposed,inc_GOP_running,inc_DEM_running,prez_GOP,approval_effects_GOP,approval_effects_DEM,nat_UR_effects_GOP,nat_UR_effects_DEM,state_UR_effects_GOP,state_UR_effects_DEM,total_male,total_female,age_under18,age_18to29,age_30to59,age_60over,race_white_nh,race_black,race_natamer,race_asian,race_hispanic,percent_male,percent_female,percent_under18,percent_age_18to29,percent_age_30to59,percent_age_60over,percent_race_white,percent_race_black,percent_race_natamer,percent_race_asian,percent_race_hispanic
22,NM_gov_1978,NM_gov,NM_1978,New_Mexico,NM,1978,0,Bruce King,Joe Skeen,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.0,613890,631625,415569,271993,405193,152760,532243,22368,99958,7751,443446,0.492880455,0.507119545,0.333652345,0.21837794,0.32532165399999996,0.122648061,0.427327652,0.017958836000000002,0.080254353,0.006223129,0.356034251
23,NY_gov_1978,NY_gov,NY_1978,New_York,NY,1978,1,Perry Duryea,Mary Jane Tobin  Right,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,7.5,8414605,9279246,4918545,3510297,6299006,2966002,12795897,2358444,40861,305892,1597836,0.475566625,0.524433375,0.277980469,0.198390786,0.35599972,0.16762896900000002,0.7231832690000001,0.133291729,0.002309333,0.01728804,0.09030459199999999
24,OH_gov_1978,OH_gov,OH_1978,Ohio,OH,1978,0,Dick Celeste,Patricia H  Wright,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.4,5206384,5562123,3223115,2238303,3695354,1611735,9493201,1055489,13774,48111,121905,0.483482436,0.516517564,0.299309366,0.207856391,0.34316307700000004,0.149671166,0.8815707690000001,0.09801628,0.0012790999999999998,0.00446775,0.011320511
25,OK_gov_1978,OK_gov,OK_1978,Oklahoma,OK,1978,0,George Nigh,Ron Shotts,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,3.3,1430635,1501443,851256,616438,974525,489859,2482331,198226,156673,17513,56192,0.48792528700000004,0.512074713,0.290325155,0.21023929100000002,0.33236667,0.167068884,0.846611516,0.067605978,0.053434117,0.005972897,0.019164565
26,OR_gov_1978,OR_gov,OR_1978,Oregon,OR,1978,1,Victor G  Atiyeh,Unopposed,0,1,1,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.6,1242043,1282718,717982,542660,863057,401062,2346389,35225,27077,36664,57145,0.491944782,0.508055218,0.284376224,0.21493519600000002,0.341837109,0.158851471,0.929350937,0.013951816,0.010724579,0.014521771000000001,0.022633826
27,PA_gov_1978,PA_gov,PA_1978,Pennsylvania,PA,1978,1,Dick Thornburgh,Peter F  Flaherty,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.8,5679155,6170743,3268257,2349958,4134238,2097444,10537332,1039557,10012,63237,144947,0.479257712,0.520742288,0.275804652,0.198310399,0.348883847,0.17700101699999998,0.889233983,0.087727084,0.000844902,0.005336502,0.01223192
28,RI_gov_1978,RI_gov,RI_1978,Rhode_Island,RI,1978,1,Lincoln Almond,Joseph A  Doorley,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,6.2,453859,493209,254287,201182,321068,170531,885995,26956,2841,6342,17283,0.479225357,0.520774643,0.2684992,0.21242614,0.339012616,0.18006204399999998,0.9355136059999999,0.028462581,0.002999785,0.006696456999999999,0.018248953999999998
29,SC_gov_1978,SC_gov,SC_1978,South_Carolina,SC,1978,0,Richard Riley,Edward Lunn Young,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.5,1468828,1546731,944605,681691,999093,390170,2047583,916183,5843,11657,29563,0.48708315799999996,0.512916842,0.313243747,0.226057922,0.331312702,0.12938563,0.679006115,0.303818629,0.001937618,0.003865618,0.009803489
30,SD_gov_1978,SD_gov,SD_1978,South_Dakota,SD,1978,1,Bill Janklow,Roger D  McKellips,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,3.2,338553,347163,212669,143834,209614,119598,634135,2047,42931,1770,3804,0.493721891,0.506278109,0.310141516,0.209757392,0.305686319,0.17441331399999999,0.9247778959999999,0.002985201,0.062607552,0.002581244,0.005547486
31,TN_gov_1978,TN_gov,TN_1978,Tennessee,TN,1978,1,Lamar Alexander,Jake Butcher,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.9,2152815,2304819,1303993,938010,1530439,685191,3691982,704099,6083,13446,37178,0.48295014799999997,0.517049852,0.292530297,0.21042777399999998,0.343329892,0.153711812,0.8282380290000001,0.157953524,0.001364625,0.003016398,0.008340299
32,TX_gov_1978,TX_gov,TX_1978,Texas,TX,1978,1,Bill Clements,John Hill,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,4.7,6695212,6927487,4244852,3058586,4509424,1809838,8229080,1643594,44241,120070,2756789,0.491474707,0.5085252929999999,0.311601394,0.224521293,0.331022802,0.132854583,0.60407119,0.12065112800000001,0.0032475940000000003,0.008813966,0.202367314
33,VT_gov_1978,VT_gov,VT_1978,Vermont,VT,1978,0,Edwin C  Granai,Earl S  Gardner ,1,0,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.4,242697,255334,147608,109519,164260,76644,491187,1103,900,1469,2965,0.487313039,0.512686961,0.296383157,0.219903982,0.329818827,0.153894035,0.986257884,0.002214722,0.001807116,0.002949616,0.005953445
34,WI_gov_1978,WI_gov,WI_1978,Wisconsin,WI,1978,1,Lee S  Dreyfus,Eugene R  Zimmerman,0,1,0,0,0,0.0,0.0,13.0,0.0,5.8,0.0,5.1,2277816,2370344,1402985,991168,1504822,749185,4345709,172180,28415,19959,62953,0.490046814,0.5099531860000001,0.301836641,0.21323878699999999,0.32374574,0.161178832,0.9349310259999999,0.037042615,0.006113171999999999,0.004293957,0.013543639
35,WY_gov_1978,WY_gov,WY_1978,Wyoming,WY,1978,1,John C  Ostlund,Unopposed,0,1,1,0,0,0.0,0.0,13.0,0.0,5.8,0.0,3.1,225803,216326,140447,106297,144416,50969,399418,3130,7609,2004,22378,0.51071746,0.48928254,0.317660683,0.240420782,0.326637701,0.115280834,0.903396972,0.0070793819999999995,0.017209909,0.004532614,0.050614187000000005
36,AL_gov_1982,AL_gov,AL_1982,Alabama,AL,1982,0,George Wallace,Emory Folmar,0,1,0,0,0,1.0,-6.0,0.0,10.4,0.0,15.2,0.0,1884460,2038768,1141556,816950,1336771,627951,2862226,1001167,10744,14044,31565,0.48033405100000004,0.519665949,0.290973657,0.208234138,0.340732427,0.160059777,0.7295589240000001,0.25518960399999996,0.0027385609999999996,0.003579705,0.008045670999999999
37,AK_gov_1982,AK_gov,AK_1982,Alaska,AK,1982,0,Bill Sheffield,Tom Fink,1,0,0,0,0,1.0,-6.0,0.0,10.4,0.0,10.1,0.0,228406,203083,139065,108572,161085,22768,321507,15489,68625,11932,11166,0.529343738,0.47065626200000005,0.322290951,0.25162171,0.37332353799999995,0.05276611900000001,0.745110536,0.035896628,0.159042293,0.02765308,0.025877832000000003
38,AK_gov_1982,AK_gov,AK_1982,Alaska,AK,1982,0,Bill Sheffield,Tom Fink,1,0,0,0,0,1.0,-6.0,0.0,10.4,0.0,10.1,0.0,228406,203083,139065,108572,161085,22768,321507,15489,68625,11932,11166,0.529343738,0.47065626200000005,0.322290951,0.25162171,0.37332353799999995,0.05276611900000001,0.745110536,0.035896628,0.159042293,0.02765308,0.025877832000000003
39,AZ_gov_1982,AZ_gov,AZ_1982,Arizona,AZ,1982,1,Leo Corbet,Sam Steiger,0,1,0,0,0,1.0,-6.0,0.0,10.4,0.0,11.4,0.0,1432492,1475126,829413,626055,980410,471739,1910640,81432,164217,97248,490228,0.492668569,0.507331431,0.285255147,0.215315423,0.337186659,0.162242427,0.6571152060000001,0.02800643,0.056478189000000005,0.033445934,0.16860124
40,CA_gov_1982,CA_gov,CA_1982,California,CA,1982,1,George Deukmejian,Tom Bradley,0,1,0,0,0,1.0,-6.0,0.0,10.4,0.0,10.7,0.0,12312713,12573612,6661311,5641425,9011273,3572317,13508896,1896688,233794,2407324,5173052,0.494758185,0.505241815,0.267669533,0.226687749,0.36209737700000005,0.143545381,0.542824061,0.076214065,0.009394477,0.096732804,0.207867252
41,CO_gov_1982,CO_gov,CO_1982,Colorado,CO,1982,1,John D  Fuhr,Paul K  Grant,0,1,0,0,0,1.0,-6.0,0.0,10.4,0.0,8.3,0.0,1473693,1497157,819304,701632,1079815,370100,2297477,107985,22367,73005,356634,0.49605096200000004,0.503949038,0.275781005,0.23617213899999998,0.363470051,0.124577141,0.773339953,0.036348183,0.007528821999999999,0.024573775,0.12004443199999999
42,CT_gov_1982,CT_gov,CT_1982,Connecticut,CT,1982,1,Lewis B  Rome,Unopposed,0,1,1,0,0,1.0,-6.0,0.0,10.4,0.0,7.0,0.0,1516979,1626505,808251,634093,1165081,536059,2678522,228167,5236,46261,142222,0.482578884,0.5174211160000001,0.257119489,0.20171663,0.37063366600000003,0.17053021399999999,0.852087047,0.072584114,0.001665668,0.014716473999999998,0.045243430999999994
43,FL_gov_1982,FL_gov,FL_1982,Florida,FL,1982,1,Louis A  Bafalis,Unopposed,0,1,1,0,0,1.0,-6.0,0.0,10.4,0.0,9.0,0.0,4992845,5391800,2460956,1957355,3554859,2411474,7696386,1426414,27272,128566,1001355,0.48079111,0.51920889,0.236980272,0.1884855,0.34231877899999996,0.232215353,0.741131353,0.137357993,0.002626185,0.012380394,0.09642650300000001
44,GA_gov_1982,GA_gov,GA_1982,Georgia,GA,1982,0,Joe Frank Harris,Robert H  Bell,0,1,0,0,0,1.0,-6.0,0.0,10.4,0.0,8.2,0.0,2741257,2924871,1662365,1236401,2002672,764690,4008904,1520861,10733,44438,70792,0.48379722399999997,0.516202776,0.293386418,0.218209154,0.353446304,0.134958123,0.7075209029999999,0.26841275,0.001894239,0.007842746,0.012493893999999998
45,HI_gov_1982,HI_gov,HI_1982,Hawaii,HI,1982,0,Frank Fasi ,D  G  Anderson,0,1,0,0,0,1.0,-6.0,0.0,10.4,0.0,6.2,0.0,508525,484874,276492,234358,356647,125902,266175,19589,3401,613791,73288,0.511904079,0.488095921,0.278329251,0.23591527699999998,0.35901687,0.126738602,0.267943696,0.019719166,0.0034235990000000003,0.617869557,0.073774989
46,ID_gov_1982,ID_gov,ID_1982,Idaho,ID,1982,1,Phil Batt,Unopposed,0,1,1,0,0,1.0,-6.0,0.0,10.4,0.0,10.0,0.0,477115,479383,307013,198459,313561,137465,873449,2843,11174,13206,39877,0.498814425,0.501185575,0.320976102,0.207485013,0.32782190899999997,0.143716976,0.9131738909999999,0.0029723009999999997,0.011682198999999999,0.013806615,0.041690626
47,IL_gov_1982,IL_gov,IL_1982,Illinois,IL,1982,0,Adlai Stevenson III,Bea Armstrong,1,0,0,0,0,1.0,-6.0,0.0,10.4,0.0,12.6,0.0,5540476,5886859,3183703,2434467,4006341,1802823,8515310,1678428,20057,290073,689371,0.484844104,0.515155896,0.278604154,0.21303891100000003,0.350592767,0.157764081,0.745170243,0.14687834,0.0017551770000000001,0.025384134,0.060326489000000004
