,race_id,office,loc_date_id,state,abbrev,year,GOP_win,winner,rival,pred_GOP,pred_DEM,unopposed,inc_GOP_running,inc_DEM_running
506,CT_sen_1988,CT_sen,CT_1988,Connecticut,CT,1988,0,Joe Lieberman,Lowell P  Weicker Jr ,1,0,0,1,0
58,CT_sen_1992,CT_sen,CT_1992,Connecticut,CT,1992,0,Christopher Dodd,Brook Johnson,0,1,0,0,0
59,CT_sen_1994,CT_sen,CT_1994,Connecticut,CT,1994,0,Joe Lieberman,Jerry Labriola,0,1,0,0,1
60,CT_sen_1998,CT_sen,CT_1998,Connecticut,CT,1998,0,Chris Dodd,Gary Franks,0,1,0,0,1
61,CT_sen_2000,CT_sen,CT_2000,Connecticut,CT,2000,0,Joe Lieberman,Philip Giordano,0,1,0,0,1
62,CT_sen_2004,CT_sen,CT_2004,Connecticut,CT,2004,0,Chris Dodd,Jack Orchulli,0,1,0,0,1
63,CT_sen_2006,CT_sen,CT_2006,Connecticut,CT,2006,0,Joe Lieberman  Connecticut,Ned Lamont,0,1,0,0,1
64,CT_sen_2010,CT_sen,CT_2010,Connecticut,CT,2010,0,Richard Blumenthal,Linda McMahon,0,1,0,0,0
441,CT_sen_2012,CT_sen,CT_2012,Connecticut,CT,2012,0,Chris Murphy,Linda McMahon,0,0,0,0,0
65,CT_sen_2016,CT_sen,CT_2016,Connecticut,CT,2016,0,Richard Blumenthal,Dan Carter,0,1,0,0,1
507,DE_sen_1976,DE_sen,DE_1976,Delaware,DE,1976,1,Bill Roth,Thomas C  Maloney,1,0,0,1,0
66,DE_sen_1978,DE_sen,DE_1978,Delaware,DE,1978,0,Joe Biden,James H  Baxter,0,1,0,0,1
508,DE_sen_1982,DE_sen,DE_1982,Delaware,DE,1982,1,Bill Roth,David N  Levinson,1,0,0,0,0
68,DE_sen_1984,DE_sen,DE_1984,Delaware,DE,1984,0,Joe Biden,John M  Burris,0,1,0,0,1
510,DE_sen_1988,DE_sen,DE_1988,Delaware,DE,1988,1,William Roth,Shien Biau Woo,1,0,0,1,0
69,DE_sen_1990,DE_sen,DE_1990,Delaware,DE,1990,0,Joe Biden,M  Jane Brady,0,1,0,0,1
511,DE_sen_1994,DE_sen,DE_1994,Delaware,DE,1994,1,William Roth,Charles Oberly,1,0,0,1,0
70,DE_sen_1996,DE_sen,DE_1996,Delaware,DE,1996,0,Joe Biden,Raymond J  Clatworthy,0,1,0,0,1
512,DE_sen_2000,DE_sen,DE_2000,Delaware,DE,2000,0,Thomas R  Carper,William V,1,0,0,0,0
74,DE_sen_2002,DE_sen,DE_2002,Delaware,DE,2002,0,Joe Biden,Christine O Donnell,0,1,0,0,1
73,DE_sen_2006,DE_sen,DE_2006,Delaware,DE,2006,0,Tom Carper,Jan Ting,0,1,0,0,1
77,DE_sen_2010,DE_sen,DE_2010,Delaware,DE,2010,0,Chris Coons,Christine O Donnell,0,1,0,0,0
75,DE_sen_2012,DE_sen,DE_2012,Delaware,DE,2012,0,Tom Carper,Kevin Wade,0,1,0,0,1
76,DE_sen_2014,DE_sen,DE_2014,Delaware,DE,2014,0,Chris Coons,Kevin Wade,0,1,0,0,1
78,FL_sen_1976,FL_sen,FL_1976,Florida,FL,1976,0,Lawton Chiles,John Grady,0,1,0,0,1
79,FL_sen_1980,FL_sen,FL_1980,Florida,FL,1980,1,Paula Hawkins,Bill Gunter,0,1,0,0,0
80,FL_sen_1982,FL_sen,FL_1982,Florida,FL,1982,0,Lawton Chiles,Van B  Poole,0,1,0,0,1
515,FL_sen_1986,FL_sen,FL_1986,Florida,FL,1986,0,Bob Graham,Paula Hawkins,1,0,0,1,0
82,FL_sen_1988,FL_sen,FL_1988,Florida,FL,1988,1,Connie Mack III,Buddy MacKay,0,1,0,0,0
83,FL_sen_1992,FL_sen,FL_1992,Florida,FL,1992,0,Bob Graham,James W  Grant,0,1,0,0,1
516,FL_sen_1994,FL_sen,FL_1994,Florida,FL,1994,1,Connie Mack III,Hugh Rodham,1,0,0,1,0
84,FL_sen_1998,FL_sen,FL_1998,Florida,FL,1998,0,Bob Graham,Charlie Crist,0,1,0,0,1
517,FL_sen_2000,FL_sen,FL_2000,Florida,FL,2000,0,Bill Nelson,Bill McCollum,1,0,0,0,0
85,FL_sen_2004,FL_sen,FL_2004,Florida,FL,2004,1,Mel Martinez,Betty Castor,0,1,0,0,0
86,FL_sen_2006,FL_sen,FL_2006,Florida,FL,2006,0,Bill Nelson,Katherine Harris,0,1,0,0,1
518,FL_sen_2010,FL_sen,FL_2010,Florida,FL,2010,1,Marco Rubio,Charlie Crist,1,0,0,0,0
87,FL_sen_2012,FL_sen,FL_2012,Florida,FL,2012,0,Bill Nelson,Connie Mack IV,0,1,0,0,1
519,FL_sen_2016,FL_sen,FL_2016,Florida,FL,2016,1,Marco Rubio,Patrick Murphy,1,0,0,1,0
88,GA_sen_1978,GA_sen,GA_1978,Georgia,GA,1978,0,Sam Nunn,John W  Stokes,0,1,0,0,1
89,GA_sen_1980,GA_sen,GA_1980,Georgia,GA,1980,1,Mack Mattingly,Herman Talmadge,0,1,0,0,1
90,GA_sen_1984,GA_sen,GA_1984,Georgia,GA,1984,0,Sam Nunn,Jon M  Hicks,0,1,0,0,1
522,GA_sen_1986,GA_sen,GA_1986,Georgia,GA,1986,0,Wyche Fowler,Mack Mattingly,1,0,0,1,0
92,GA_sen_1990,GA_sen,GA_1990,Georgia,GA,1990,0,Sam Nunn  Democratic,Unopposed,0,1,1,0,1
93,GA_sen_1992,GA_sen,GA_1992,Georgia,GA,1992,1,Paul Coverdell,Wyche Fowler,0,1,0,0,1
94,GA_sen_1996,GA_sen,GA_1996,Georgia,GA,1996,0,Max Cleland,Guy Millner,0,1,0,0,0
523,GA_sen_1998,GA_sen,GA_1998,Georgia,GA,1998,1,Paul Coverdell,Michael Coles,1,0,0,1,0
98,GA_sen_2000,GA_sen,GA_2000,Georgia,GA,2000,0,Zell Miller,Mack Mattingly,0,1,0,0,1
524,GA_sen_2002,GA_sen,GA_2002,Georgia,GA,2002,1,Saxby Chambliss,Jim Martin,1,0,0,1,0
97,GA_sen_2004,GA_sen,GA_2004,Georgia,GA,2004,1,Johnny Isakson,Denise Majette,0,1,0,0,0
525,GA_sen_2010,GA_sen,GA_2010,Georgia,GA,2010,1,Johnny Isakson,Michael Thurmond,1,0,0,1,0
526,GA_sen_2014,GA_sen,GA_2014,Georgia,GA,2014,1,David Perdue,Michelle Nunn,1,0,0,0,0
527,GA_sen_2016,GA_sen,GA_2016,Georgia,GA,2016,1,Johnny Isakson,Jim Barksdale,1,0,0,1,0
528,HI_sen_1976,HI_sen,HI_1976,Hawaii,HI,1976,0,Spark Matsunaga,William F  Quinn,1,0,0,0,0
99,HI_sen_1980,HI_sen,HI_1980,Hawaii,HI,1980,0,Daniel Inouye,Cooper Brown,0,1,0,0,1
100,HI_sen_1982,HI_sen,HI_1982,Hawaii,HI,1982,0,Spark Matsunaga,Clarence J  Brown,0,1,0,0,1
104,HI_sen_1986,HI_sen,HI_1986,Hawaii,HI,1986,0,Daniel Inouye,Frank Hutchinson,0,1,0,0,1
105,HI_sen_1988,HI_sen,HI_1988,Hawaii,HI,1988,0,Spark Matsunaga,Maria M  Hustace,0,1,0,0,1
115,HI_sen_1990,HI_sen,HI_1990,Hawaii,HI,1990,0,Daniel Akaka,Pat Saiki,0,1,0,0,1
106,HI_sen_1992,HI_sen,HI_1992,Hawaii,HI,1992,0,Daniel Inouye,Rick Reed,0,1,0,0,1
107,HI_sen_1994,HI_sen,HI_1994,Hawaii,HI,1994,0,Daniel Akaka,Maria Hustace,0,1,0,0,1
108,HI_sen_1998,HI_sen,HI_1998,Hawaii,HI,1998,0,Daniel Inouye,Crystal Young,0,1,0,0,1
109,HI_sen_2000,HI_sen,HI_2000,Hawaii,HI,2000,0,Daniel Akaka,John S  Carroll,0,1,0,0,1
110,HI_sen_2004,HI_sen,HI_2004,Hawaii,HI,2004,0,Daniel Inouye,Campbell Cavasso,0,1,0,0,1
111,HI_sen_2006,HI_sen,HI_2006,Hawaii,HI,2006,0,Daniel Akaka,Cynthia Thielen,0,1,0,0,1
112,HI_sen_2010,HI_sen,HI_2010,Hawaii,HI,2010,0,Daniel Inouye,Campbell Cavasso,0,1,0,0,1
113,HI_sen_2012,HI_sen,HI_2012,Hawaii,HI,2012,0,Mazie Hirono,Linda Lingle,0,1,0,0,0
116,HI_sen_2014,HI_sen,HI_2014,Hawaii,HI,2014,0,Brian Schatz,Campbell Cavasso,0,1,0,0,1
114,HI_sen_2016,HI_sen,HI_2016,Hawaii,HI,2016,0,Brian Schatz,John Carroll,0,1,0,0,1
136,IA_sen_1978,IA_sen,IA_1978,Iowa,IA,1978,1,Roger Jepsen,Dick Clark,0,1,0,0,1
137,IA_sen_1980,IA_sen,IA_1980,Iowa,IA,1980,1,Chuck Grassley,John Culver,0,1,0,0,1
565,IA_sen_1984,IA_sen,IA_1984,Iowa,IA,1984,0,Tom Harkin,Roger Jepsen,1,0,0,1,0
569,IA_sen_1986,IA_sen,IA_1986,Iowa,IA,1986,1,Chuck Grassley,John P  Roehrick,1,0,0,1,0
138,IA_sen_1990,IA_sen,IA_1990,Iowa,IA,1990,0,Tom Harkin,Tom Tauke,0,1,0,0,1
570,IA_sen_1992,IA_sen,IA_1992,Iowa,IA,1992,1,Chuck Grassley,Jean Hall Lloyd Jones,1,0,0,1,0
139,IA_sen_1996,IA_sen,IA_1996,Iowa,IA,1996,0,Tom Harkin,Jim Ross Lightfoot,0,1,0,0,1
571,IA_sen_1998,IA_sen,IA_1998,Iowa,IA,1998,1,Chuck Grassley,David Osterberg,1,0,0,1,0
142,IA_sen_2002,IA_sen,IA_2002,Iowa,IA,2002,0,Tom Harkin,Christopher Reed,0,1,0,0,1
572,IA_sen_2004,IA_sen,IA_2004,Iowa,IA,2004,1,Chuck Grassley,Arthur Small,1,0,0,1,0
573,IA_sen_2010,IA_sen,IA_2010,Iowa,IA,2010,1,Chuck Grassley,Roxanne Conlin,1,0,0,1,0
143,IA_sen_2014,IA_sen,IA_2014,Iowa,IA,2014,1,Joni Ernst,Bruce Braley,0,1,0,0,0
574,IA_sen_2016,IA_sen,IA_2016,Iowa,IA,2016,1,Chuck Grassley,Patty Judge,1,0,0,1,0
529,ID_sen_1978,ID_sen,ID_1978,Idaho,ID,1978,1,James A  McClure,Dwight Jensen,1,0,0,1,0
117,ID_sen_1980,ID_sen,ID_1980,Idaho,ID,1980,1,Steve Symms,Frank Church,0,1,0,0,1
530,ID_sen_1984,ID_sen,ID_1984,Idaho,ID,1984,1,James A  McClure,Peter M  Busch,1,0,0,1,0
534,ID_sen_1986,ID_sen,ID_1986,Idaho,ID,1986,1,Steve Symms,John V  Evans,1,0,0,1,0
535,ID_sen_1990,ID_sen,ID_1990,Idaho,ID,1990,1,Larry Craig,Ron J  Twilegar,1,0,0,0,0
536,ID_sen_1992,ID_sen,ID_1992,Idaho,ID,1992,1,Dirk Kempthorne,Richard H  Stallings,1,0,0,0,0
537,ID_sen_1996,ID_sen,ID_1996,Idaho,ID,1996,1,Larry E  Craig,Walt Minnick,1,0,0,0,0
538,ID_sen_1998,ID_sen,ID_1998,Idaho,ID,1998,1,Mike Crapo,Bill Mauk,1,0,0,0,0
539,ID_sen_2002,ID_sen,ID_2002,Idaho,ID,2002,1,Larry Craig,Alan Blinken,1,0,0,1,0
542,ID_sen2_2002,ID_sen,ID_2002,Idaho,ID,2002,1,Jim Risch,Larry LaRocco,1,0,0,0,0
541,ID_sen_2004,ID_sen,ID_2004,Idaho,ID,2004,1,Mike Crapo,Scott McClure,1,0,0,1,0
543,ID_sen_2010,ID_sen,ID_2010,Idaho,ID,2010,1,Mike Crapo,Tom Sullivan,1,0,0,1,0
544,ID_sen_2014,ID_sen,ID_2014,Idaho,ID,2014,1,Jim Risch,Nels Mitchell,1,0,0,1,0
545,ID_sen_2016,ID_sen,ID_2016,Idaho,ID,2016,1,Mike Crapo,Jerry Sturgill,1,0,0,1,0
546,IL_sen_1978,IL_sen,IL_1978,Illinois,IL,1978,1,Charles H  Percy,Alex Seith,1,0,0,1,0
118,IL_sen_1980,IL_sen,IL_1980,Illinois,IL,1980,0,Alan J  Dixon,Dave O Neal,0,1,0,0,0
547,IL_sen_1984,IL_sen,IL_1984,Illinois,IL,1984,0,Paul Simon,Charles H  Percy,1,0,0,1,0
121,IL_sen_1986,IL_sen,IL_1986,Illinois,IL,1986,0,Alan J  Dixon,Judy Koehler,0,1,0,0,1
