year,state,abbrev,col,combo1,combo2,total_population,total_male,total_female,age_under18,age_18to29,age_30to59,age_60over,race_white,race_black,race_natamer,race_asian,race_hispanic
1984,Mississippi,MS,25,Mississippi_1984,MS_1984,2541670,1220574,1321096,787223,517985,1465454,407011,1622764,898289,7558,11119,21211
1985,Mississippi,MS,25,Mississippi_1985,MS_1985,2546928,1222248,1324680,780479,513502,1498811,410509,1624547,901084,7720,11961,20331
1986,Mississippi,MS,25,Mississippi_1986,MS_1986,2552184,1223921,1328263,773735,509019,1532167,414006,1626329,903879,7881,12803,19451
1987,Mississippi,MS,25,Mississippi_1987,MS_1987,2557442,1225595,1331847,766992,504536,1565524,417504,1628112,906673,8042,13646,18571
1988,Mississippi,MS,25,Mississippi_1988,MS_1988,2562700,1227269,1335431,760248,500052,1598881,421001,1629895,909468,8203,14488,17691
1989,Mississippi,MS,25,Mississippi_1989,MS_1989,2567958,1228943,1339015,753505,495569,1632237,424499,1631678,912262,8364,15331,16811
1990,Mississippi,MS,25,Mississippi_1990,MS_1990,2573216,1230617,1342599,746761,491086,1665594,427996,1633461,915057,8525,16173,15931
1991,Mississippi,MS,25,Mississippi_1991,MS_1991,2600361,1244911,1355450,749604,492327,1706039,430911,1644725,926932,8838,17863,18295
1992,Mississippi,MS,25,Mississippi_1992,MS_1992,2627504,1259204,1368300,752446,493569,1746485,433826,1655989,938807,9150,19554,20659
1993,Mississippi,MS,25,Mississippi_1993,MS_1993,2654649,1273498,1381151,755289,494810,1786930,436740,1667252,950683,9463,21244,23022
1994,Mississippi,MS,25,Mississippi_1994,MS_1994,2681793,1287792,1394001,758131,496052,1827375,439655,1678516,962558,9776,22935,25386
1995,Mississippi,MS,25,Mississippi_1995,MS_1995,2708938,1302086,1406852,760974,497293,1867821,442570,1689780,974433,10089,24625,27750
1996,Mississippi,MS,25,Mississippi_1996,MS_1996,2736081,1316379,1419702,763817,498534,1908266,445485,1701044,986308,10401,26315,30114
1997,Mississippi,MS,25,Mississippi_1997,MS_1997,2763226,1330673,1432553,766659,499776,1948711,448400,1712308,998183,10714,28006,32478
1998,Mississippi,MS,25,Mississippi_1998,MS_1998,2790370,1344967,1445403,769502,501017,1989156,451314,1723571,1010059,11027,29696,34841
1999,Mississippi,MS,25,Mississippi_1999,MS_1999,2817514,1359260,1458254,772344,502259,2029602,454229,1734835,1021934,11339,31387,37205
2000,Mississippi,MS,25,Mississippi_2000,MS_2000,2844658,1373554,1471104,775187,503500,2070047,457144,1746099,1033809,11652,33077,39569
2001,Mississippi,MS,25,Mississippi_2001,MS_2001,2856922,1380323,1476599,773224,503542,2134449,465546,1746958,1040267,11990,36278,43760
2002,Mississippi,MS,25,Mississippi_2002,MS_2002,2869186,1387091,1482095,771261,503583,2198851,473948,1747816,1046724,12328,39480,47951
2003,Mississippi,MS,25,Mississippi_2003,MS_2003,2881450,1393860,1487590,769297,503625,2263253,482350,1748675,1053182,12665,42681,52143
2004,Mississippi,MS,25,Mississippi_2004,MS_2004,2893713,1400628,1493085,767334,503666,2327655,490752,1749533,1059639,13003,45883,56334
2005,Mississippi,MS,25,Mississippi_2005,MS_2005,2905978,1407397,1498581,765371,503708,2392057,499154,1750392,1066097,13341,49084,60525
2006,Mississippi,MS,25,Mississippi_2006,MS_2006,2918242,1414166,1504076,763408,503750,2456458,507555,1751250,1072555,13679,52285,64716
2007,Mississippi,MS,25,Mississippi_2007,MS_2007,2930505,1420934,1509571,761445,503791,2520860,515957,1752109,1079012,14017,55487,68907
2008,Mississippi,MS,25,Mississippi_2008,MS_2008,2942769,1427703,1515066,759481,503833,2585262,524359,1752967,1085470,14354,58688,73099
2009,Mississippi,MS,25,Mississippi_2009,MS_2009,2955033,1434471,1520562,757518,503874,2649664,532761,1753826,1091927,14692,61890,77290
2010,Mississippi,MS,25,Mississippi_2010,MS_2010,2967297,1441240,1526057,755555,503916,2714066,541163,1754684,1098385,15030,65091,81481
2011,Mississippi,MS,25,Mississippi_2011,MS_2011,2979561,1448009,1531552,753592,503958,2778468,549565,1755543,1104843,15368,68292,85672
2012,Mississippi,MS,25,Mississippi_2012,MS_2012,2991825,1454777,1537048,751629,503999,2842870,557967,1756401,1111300,15706,71494,89863
2013,Mississippi,MS,25,Mississippi_2013,MS_2013,3004089,1461546,1542543,749665,504041,2907272,566369,1757260,1117758,16043,74695,94055
2014,Mississippi,MS,25,Mississippi_2014,MS_2014,3016352,1468314,1548038,747702,504082,2971674,574771,1758118,1124215,16381,77897,98246
2015,Mississippi,MS,25,Mississippi_2015,MS_2015,3028617,1475083,1553534,745739,504124,3036076,583173,1758977,1130673,16719,81098,102437
2016,Mississippi,MS,25,Mississippi_2016,MS_2016,3040881,1481852,1559029,743776,504166,3100477,591574,1759835,1137131,17057,84299,106628
2017,Mississippi,MS,25,Mississippi_2017,MS_2017,3053144,1488620,1564524,741813,504207,3164879,599976,1760694,1143588,17395,87501,110819
2018,Mississippi,MS,25,Mississippi_2018,MS_2018,3065408,1495389,1570019,739849,504249,3229281,608378,1761552,1150046,17732,90702,115011
1970,Missouri,MO,26,Missouri_1970,MO_1970,4676501,2255952,2420549,1552872,820231,1519766,783632,4177495,480172,5405,13429,60080
1971,Missouri,MO,26,Missouri_1971,MO_1971,4700520,2266906,2433614,1533833,841651,1532431,792605,4194587,483493,6362,14582,59237
1972,Missouri,MO,26,Missouri_1972,MO_1972,4724538,2277859,2446679,1514794,863071,1545096,801577,4211678,486815,7318,15736,58395
1973,Missouri,MO,26,Missouri_1973,MO_1973,4748557,2288813,2459744,1495755,884491,1557760,810550,4228770,490136,8275,16889,57552
1974,Missouri,MO,26,Missouri_1974,MO_1974,4772575,2299766,2472809,1476716,905911,1570425,819522,4245862,493457,9231,18042,56709
1975,Missouri,MO,26,Missouri_1975,MO_1975,4796594,2310720,2485874,1457678,927331,1583090,828495,4262954,496779,10188,19196,55867
1976,Missouri,MO,26,Missouri_1976,MO_1976,4820612,2321673,2498939,1438639,948751,1595755,837468,4280045,500100,11145,20349,55024
1977,Missouri,MO,26,Missouri_1977,MO_1977,4844631,2332627,2512004,1419600,970171,1608420,846440,4297137,503421,12101,21502,54181
1978,Missouri,MO,26,Missouri_1978,MO_1978,4868649,2343580,2525069,1400561,991591,1621084,855413,4314229,506742,13058,22655,53338
1979,Missouri,MO,26,Missouri_1979,MO_1979,4892668,2354534,2538134,1381522,1013011,1633749,864385,4331320,510064,14014,23809,52496
1980,Missouri,MO,26,Missouri_1980,MO_1980,4916686,2365487,2551199,1362483,1034431,1646414,873358,4348412,513385,14971,24962,51653
1981,Missouri,MO,26,Missouri_1981,MO_1981,4936725,2375370,2561355,1357717,1024707,1673627,880673,4362194,516867,15457,28746,52658
1982,Missouri,MO,26,Missouri_1982,MO_1982,4956764,2385253,2571511,1352952,1014983,1700840,887988,4375975,520350,15944,32530,53663
1983,Missouri,MO,26,Missouri_1983,MO_1983,4976802,2395135,2581667,1348186,1005259,1728053,895304,4389757,523832,16430,36314,54668
1984,Missouri,MO,26,Missouri_1984,MO_1984,4996841,2405018,2591823,1343420,995535,1755266,902619,4403538,527314,16917,40098,55673
1985,Missouri,MO,26,Missouri_1985,MO_1985,5016880,2414901,2601979,1338655,985812,1782480,909934,4417320,530797,17403,43882,56678
1986,Missouri,MO,26,Missouri_1986,MO_1986,5036918,2424784,2612134,1333889,976088,1809693,917249,4431102,534279,17889,47666,57682
1987,Missouri,MO,26,Missouri_1987,MO_1987,5056957,2434667,2622290,1329123,966364,1836906,924564,4444883,537761,18376,51450,58687
1988,Missouri,MO,26,Missouri_1988,MO_1988,5076995,2444549,2632446,1324357,956640,1864119,931880,4458665,541243,18862,55234,59692
1989,Missouri,MO,26,Missouri_1989,MO_1989,5097034,2454432,2642602,1319592,946916,1891332,939195,4472446,544726,19349,59018,60697
1990,Missouri,MO,26,Missouri_1990,MO_1990,5117073,2464315,2652758,1314826,937192,1918545,946510,4486228,548208,19835,62802,61702
1991,Missouri,MO,26,Missouri_1991,MO_1991,5164887,2489901,2674986,1326113,933301,1955244,950229,4512414,556326,20359,67582,67391
1992,Missouri,MO,26,Missouri_1992,MO_1992,5212700,2515487,2697213,1337399,929410,1991942,953949,4538599,564445,20883,72362,73080
1993,Missouri,MO,26,Missouri_1993,MO_1993,5260515,2541074,2719441,1348686,925519,2028641,957668,4564785,572563,21407,77141,78769
1994,Missouri,MO,26,Missouri_1994,MO_1994,5308328,2566660,2741668,1359972,921628,2065340,961388,4590970,580681,21931,81921,84458
1995,Missouri,MO,26,Missouri_1995,MO_1995,5356142,2592246,2763896,1371259,917738,2102039,965107,4617156,588800,22456,86701,90147
1996,Missouri,MO,26,Missouri_1996,MO_1996,5403956,2617832,2786124,1382546,913847,2138737,968826,4643341,596918,22980,91481,95836
1997,Missouri,MO,26,Missouri_1997,MO_1997,5451769,2643418,2808351,1393832,909956,2175436,972546,4669527,605036,23504,96261,101525
1998,Missouri,MO,26,Missouri_1998,MO_1998,5499584,2669005,2830579,1405119,906065,2212135,976265,4695712,613154,24028,101040,107214
1999,Missouri,MO,26,Missouri_1999,MO_1999,5547397,2694591,2852806,1416405,902174,2248833,979985,4721898,621273,24552,105820,112903
2000,Missouri,MO,26,Missouri_2000,MO_2000,5595211,2720177,2875034,1427692,898283,2285532,983704,4748083,629391,25076,110600,118592
2001,Missouri,MO,26,Missouri_2001,MO_2001,5634583,2741507,2893076,1427466,907705,2358946,1002492,4769152,635791,25306,118020,127980
2002,Missouri,MO,26,Missouri_2002,MO_2002,5673954,2762837,2911117,1427241,917127,2432361,1021281,4790220,642191,25536,125440,137368
2003,Missouri,MO,26,Missouri_2003,MO_2003,5713326,2784167,2929159,1427015,926549,2505775,1040069,4811289,648591,25766,132860,146755
2004,Missouri,MO,26,Missouri_2004,MO_2004,5752697,2805497,2947200,1426790,935971,2579190,1058857,4832358,654991,25996,140280,156143
2005,Missouri,MO,26,Missouri_2005,MO_2005,5792069,2826827,2965242,1426564,945393,2652604,1077646,4853427,661391,26226,147701,165531
2006,Missouri,MO,26,Missouri_2006,MO_2006,5831441,2848157,2983284,1426338,954815,2726018,1096434,4874495,667791,26456,155121,174919
2007,Missouri,MO,26,Missouri_2007,MO_2007,5870812,2869487,3001325,1426113,964237,2799433,1115222,4895564,674191,26686,162541,184307
2008,Missouri,MO,26,Missouri_2008,MO_2008,5910184,2890817,3019367,1425887,973659,2872847,1134010,4916633,680591,26916,169961,193694
2009,Missouri,MO,26,Missouri_2009,MO_2009,5949555,2912147,3037408,1425662,983081,2946262,1152799,4937701,686991,27146,177381,203082
2010,Missouri,MO,26,Missouri_2010,MO_2010,5988927,2933477,3055450,1425436,992503,3019676,1171587,4958770,693391,27376,184801,212470
2011,Missouri,MO,26,Missouri_2011,MO_2011,6028299,2954807,3073492,1425210,1001925,3093090,1190375,4979839,699791,27606,192221,221858
2012,Missouri,MO,26,Missouri_2012,MO_2012,6067670,2976137,3091533,1424985,1011347,3166505,1209164,5000907,706191,27836,199641,231246
2013,Missouri,MO,26,Missouri_2013,MO_2013,6107042,2997467,3109575,1424759,1020769,3239919,1227952,5021976,712591,28066,207061,240633
2014,Missouri,MO,26,Missouri_2014,MO_2014,6146413,3018797,3127616,1424534,1030191,3313334,1246740,5043045,718991,28296,214481,250021
2015,Missouri,MO,26,Missouri_2015,MO_2015,6185785,3040127,3145658,1424308,1039613,3386748,1265529,5064114,725391,28526,221902,259409
2016,Missouri,MO,26,Missouri_2016,MO_2016,6225157,3061457,3163700,1424082,1049035,3460162,1284317,5085182,731791,28756,229322,268797
2017,Missouri,MO,26,Missouri_2017,MO_2017,6264528,3082787,3181741,1423857,1058457,3533577,1303105,5106251,738191,28986,236742,278185
2018,Missouri,MO,26,Missouri_2018,MO_2018,6303900,3104117,3199783,1423631,1067879,3606991,1321893,5127320,744591,29216,244162,287572
1970,Montana,MT,27,Montana_1970,MT_1970,694409,347005,347404,253125,118875,225238,97171,663043,1995,27130,2241,6344
1971,Montana,MT,27,Montana_1971,MT_1971,703637,351567,352070,251002,124537,228720,99378,670829,1969,28187,2327,6707
1972,Montana,MT,27,Montana_1972,MT_1972,712865,356129,356736,248879,130199,232203,101585,678615,1944,29244,2412,7070
1973,Montana,MT,27,Montana_1973,MT_1973,722093,360691,361402,246756,135860,235685,103792,686400,1918,30301,2498,7433
1974,Montana,MT,27,Montana_1974,MT_1974,731321,365253,366068,244633,141522,239168,105999,694186,1892,31358,2583,7796
1975,Montana,MT,27,Montana_1975,MT_1975,740550,369815,370735,242510,147184,242650,108206,701972,1867,32415,2669,8159
1976,Montana,MT,27,Montana_1976,MT_1976,749778,374377,375401,240387,152846,246132,110412,709758,1841,33472,2755,8522
1977,Montana,MT,27,Montana_1977,MT_1977,759006,378939,380067,238264,158508,249615,112619,717544,1815,34529,2840,8885
1978,Montana,MT,27,Montana_1978,MT_1978,768234,383501,384733,236141,164169,253097,114826,725329,1789,35586,2926,9248
1979,Montana,MT,27,Montana_1979,MT_1979,777462,388063,389399,234018,169831,256580,117033,733115,1764,36643,3011,9611
1980,Montana,MT,27,Montana_1980,MT_1980,786690,392625,394065,231895,175493,260062,119240,740901,1738,37700,3097,9974
1981,Montana,MT,27,Montana_1981,MT_1981,787927,392939,394988,230916,170556,265058,121397,740922,1802,38698,3577,10194
1982,Montana,MT,27,Montana_1982,MT_1982,789165,393254,395911,229937,165619,270055,123555,740943,1867,39696,4056,10414
1983,Montana,MT,27,Montana_1983,MT_1983,790402,393568,396834,228958,160682,275051,125712,740964,1931,40694,4536,10634
1984,Montana,MT,27,Montana_1984,MT_1984,791640,393883,397757,227979,155745,280048,127869,740985,1995,41692,5016,10854
1985,Montana,MT,27,Montana_1985,MT_1985,792878,394197,398681,227000,150808,285044,130027,741006,2060,42690,5496,11074
1986,Montana,MT,27,Montana_1986,MT_1986,794115,394511,399604,226020,145870,290040,132184,741027,2124,43687,5975,11294
1987,Montana,MT,27,Montana_1987,MT_1987,795353,394826,400527,225041,140933,295037,134341,741048,2188,44685,6455,11514
1988,Montana,MT,27,Montana_1988,MT_1988,796590,395140,401450,224062,135996,300033,136498,741069,2252,45683,6935,11734
1989,Montana,MT,27,Montana_1989,MT_1989,797828,395455,402373,223083,131059,305030,138656,741090,2317,46681,7414,11954
1990,Montana,MT,27,Montana_1990,MT_1990,799065,395769,403296,222104,126122,310026,140813,741111,2381,47679,7894,12174
1991,Montana,MT,27,Montana_1991,MT_1991,809378,401140,408238,222900,127196,316661,142621,748723,2412,48518,8152,12765
1992,Montana,MT,27,Montana_1992,MT_1992,819691,406511,413180,223696,128270,323296,144429,756335,2443,49357,8410,13355
1993,Montana,MT,27,Montana_1993,MT_1993,830004,411882,418122,224491,129344,329932,146237,763946,2474,50196,8669,13946
1994,Montana,MT,27,Montana_1994,MT_1994,840317,417253,423064,225287,130418,336567,148045,771558,2505,51035,8927,14537
1995,Montana,MT,27,Montana_1995,MT_1995,850631,422625,428006,226083,131492,343202,149854,779170,2537,51874,9185,15128
1996,Montana,MT,27,Montana_1996,MT_1996,860943,427996,432947,226879,132565,349837,151662,786782,2568,52712,9443,15718
1997,Montana,MT,27,Montana_1997,MT_1997,871256,433367,437889,227675,133639,356472,153470,794394,2599,53551,9701,16309
1998,Montana,MT,27,Montana_1998,MT_1998,881569,438738,442831,228470,134713,363108,155278,802005,2630,54390,9960,16900
1999,Montana,MT,27,Montana_1999,MT_1999,891882,444109,447773,229266,135787,369743,157086,809617,2661,55229,10218,17490
2000,Montana,MT,27,Montana_2000,MT_2000,902195,449480,452715,230062,136861,376378,158894,817229,2692,56068,10476,18081
2001,Montana,MT,27,Montana_2001,MT_2001,910917,454199,456718,229412,139048,388483,163973,824002,2826,56717,10718,19129
2002,Montana,MT,27,Montana_2002,MT_2002,919639,458917,460722,228762,141236,400588,169052,830775,2959,57365,10960,20178
2003,Montana,MT,27,Montana_2003,MT_2003,928361,463636,464725,228112,143423,412692,174131,837549,3093,58014,11202,21226
2004,Montana,MT,27,Montana_2004,MT_2004,937083,468355,468728,227462,145610,424797,179210,844322,3226,58663,11444,22275
2005,Montana,MT,27,Montana_2005,MT_2005,945806,473074,472732,226813,147798,436902,184290,851095,3360,59312,11686,23323
2006,Montana,MT,27,Montana_2006,MT_2006,954527,477792,476735,226163,149985,449007,189369,857868,3493,59960,11928,24371
2007,Montana,MT,27,Montana_2007,MT_2007,963249,482511,480738,225513,152172,461112,194448,864641,3627,60609,12170,25420
2008,Montana,MT,27,Montana_2008,MT_2008,971971,487230,484741,224863,154359,473216,199527,871415,3760,61258,12412,26468
2009,Montana,MT,27,Montana_2009,MT_2009,980693,491948,488745,224213,156547,485321,204606,878188,3894,61906,12654,27517
2010,Montana,MT,27,Montana_2010,MT_2010,989415,496667,492748,223563,158734,497426,209685,884961,4027,62555,12896,28565
2011,Montana,MT,27,Montana_2011,MT_2011,998137,501386,496751,222913,160921,509531,214764,891734,4161,63204,13138,29613
2012,Montana,MT,27,Montana_2012,MT_2012,1006859,506104,500755,222263,163109,521636,219843,898507,4294,63852,13380,30662
2013,Montana,MT,27,Montana_2013,MT_2013,1015581,510823,504758,221613,165296,533740,224922,905281,4428,64501,13622,31710
2014,Montana,MT,27,Montana_2014,MT_2014,1024303,515542,508761,220963,167483,545845,230001,912054,4561,65150,13864,32759
2015,Montana,MT,27,Montana_2015,MT_2015,1033026,520261,512765,220314,169671,557950,235081,918827,4695,65799,14106,33807
2016,Montana,MT,27,Montana_2016,MT_2016,1041747,524979,516768,219664,171858,570055,240160,925600,4828,66447,14348,34855
2017,Montana,MT,27,Montana_2017,MT_2017,1050469,529698,520771,219014,174045,582160,245239,932373,4962,67096,14590,35904
2018,Montana,MT,27,Montana_2018,MT_2018,1059191,534417,524774,218364,176232,594264,250318,939147,5095,67745,14832,36952
1970,Nebraska,NE,28,Nebraska_1970,NE_1970,1483493,724455,759038,507491,259843,465763,250396,1432867,39911,6624,4091,20749
1971,Nebraska,NE,28,Nebraska_1971,NE_1971,1492126,728599,763527,501459,268409,469581,252678,1438802,40715,6876,4501,21477
1972,Nebraska,NE,28,Nebraska_1972,NE_1972,1500760,732743,768017,495427,276975,473398,254959,1444738,41518,7128,4911,22204
1973,Nebraska,NE,28,Nebraska_1973,NE_1973,1509393,736887,772506,489395,285542,477216,257241,1450673,42322,7381,5321,22932
1974,Nebraska,NE,28,Nebraska_1974,NE_1974,1518026,741031,776995,483363,294108,481033,259522,1456608,43125,7633,5731,23659
1975,Nebraska,NE,28,Nebraska_1975,NE_1975,1526660,745175,781485,477331,302674,484851,261804,1462544,43929,7885,6141,24387
1976,Nebraska,NE,28,Nebraska_1976,NE_1976,1535292,749318,785974,471298,311240,488668,264086,1468479,44732,8137,6550,25115
1977,Nebraska,NE,28,Nebraska_1977,NE_1977,1543925,753462,790463,465266,319806,492486,266367,1474414,45536,8389,6960,25842
1978,Nebraska,NE,28,Nebraska_1978,NE_1978,1552558,757606,794952,459234,328373,496303,268649,1480349,46339,8642,7370,26570
1979,Nebraska,NE,28,Nebraska_1979,NE_1979,1561192,761750,799442,453202,336939,500121,270930,1486285,47143,8894,7780,27297
1980,Nebraska,NE,28,Nebraska_1980,NE_1980,1569825,765894,803931,447170,345505,503938,273212,1492220,47946,9146,8190,28025
1981,Nebraska,NE,28,Nebraska_1981,NE_1981,1570682,766249,804433,445354,339065,511291,274970,1491054,48892,9472,10172,28919
1982,Nebraska,NE,28,Nebraska_1982,NE_1982,1571537,766603,804934,443538,332625,518645,276729,1489888,49838,9799,12155,29814
1983,Nebraska,NE,28,Nebraska_1983,NE_1983,1572394,766958,805436,441723,326185,525998,278487,1488721,50783,10125,14137,30708
1984,Nebraska,NE,28,Nebraska_1984,NE_1984,1573249,767312,805937,439907,319745,533352,280246,1487555,51729,10452,16119,31603
1985,Nebraska,NE,28,Nebraska_1985,NE_1985,1574106,767667,806439,438091,313305,540705,282004,1486389,52675,10778,18102,32497
1986,Nebraska,NE,28,Nebraska_1986,NE_1986,1574961,768021,806940,436275,306865,548058,283762,1485223,53621,11104,20084,33391
1987,Nebraska,NE,28,Nebraska_1987,NE_1987,1575818,768376,807442,434459,300425,555412,285521,1484057,54567,11431,22066,34286
1988,Nebraska,NE,28,Nebraska_1988,NE_1988,1576673,768730,807943,432644,293985,562765,287279,1482890,55512,11757,24048,35180
1989,Nebraska,NE,28,Nebraska_1989,NE_1989,1577530,769085,808445,430828,287545,570119,289038,1481724,56458,12084,26031,36075
1990,Nebraska,NE,28,Nebraska_1990,NE_1990,1578385,769439,808946,429012,281105,577472,290796,1480558,57404,12410,28013,36969
1991,Nebraska,NE,28,Nebraska_1991,NE_1991,1591673,776830,814843,431135,281642,587564,291332,1485828,58518,12659,32273,42715
1992,Nebraska,NE,28,Nebraska_1992,NE_1992,1604960,784221,820739,433258,282179,597657,291867,1491099,59631,12907,36533,48460
1993,Nebraska,NE,28,Nebraska_1993,NE_1993,1618249,791613,826636,435381,282716,607749,292403,1496369,60745,13156,40793,54206
1994,Nebraska,NE,28,Nebraska_1994,NE_1994,1631536,799004,832532,437504,283253,617842,292938,1501639,61859,13404,45053,59951
1995,Nebraska,NE,28,Nebraska_1995,NE_1995,1644824,806395,838429,439627,283790,627934,293474,1506910,62973,13653,49313,65697
1996,Nebraska,NE,28,Nebraska_1996,NE_1996,1658112,813786,844326,441750,284326,638026,294009,1512180,64086,13902,53572,71443
1997,Nebraska,NE,28,Nebraska_1997,NE_1997,1671399,821177,850222,443873,284863,648119,294545,1517450,65200,14150,57832,77188
1998,Nebraska,NE,28,Nebraska_1998,NE_1998,1684688,828569,856119,445996,285400,658211,295080,1522720,66314,14399,62092,82934
1999,Nebraska,NE,28,Nebraska_1999,NE_1999,1697975,835960,862015,448119,285937,668304,295616,1527991,67427,14647,66352,88679
2000,Nebraska,NE,28,Nebraska_2000,NE_2000,1711263,843351,867912,450242,286474,678396,296151,1533261,68541,14896,70612,94425
2001,Nebraska,NE,28,Nebraska_2001,NE_2001,1722771,849646,873125,451140,288987,701442,300753,1537219,69975,15249,74819,101723
2002,Nebraska,NE,28,Nebraska_2002,NE_2002,1734279,855940,878339,452038,291500,724487,305354,1541176,71410,15602,79026,109021
2003,Nebraska,NE,28,Nebraska_2003,NE_2003,1745787,862235,883552,452936,294013,747533,309956,1545134,72844,15955,83233,116319
2004,Nebraska,NE,28,Nebraska_2004,NE_2004,1757294,868529,888765,453834,296526,770579,314557,1549092,74279,16308,87440,123617
2005,Nebraska,NE,28,Nebraska_2005,NE_2005,1768803,874824,893979,454732,299039,793625,319159,1553050,75713,16662,91647,130915
2006,Nebraska,NE,28,Nebraska_2006,NE_2006,1780310,881118,899192,455629,301551,816670,323761,1557007,77147,17015,95853,138213
2007,Nebraska,NE,28,Nebraska_2007,NE_2007,1791818,887413,904405,456527,304064,839716,328362,1560965,78582,17368,100060,145511
2008,Nebraska,NE,28,Nebraska_2008,NE_2008,1803325,893707,909618,457425,306577,862762,332964,1564923,80016,17721,104267,152809
2009,Nebraska,NE,28,Nebraska_2009,NE_2009,1814834,900002,914832,458323,309090,885807,337565,1568880,81451,18074,108474,160107
2010,Nebraska,NE,28,Nebraska_2010,NE_2010,1826341,906296,920045,459221,311603,908853,342167,1572838,82885,18427,112681,167405
2011,Nebraska,NE,28,Nebraska_2011,NE_2011,1837849,912591,925258,460119,314116,931899,346769,1576796,84319,18780,116888,174703
2012,Nebraska,NE,28,Nebraska_2012,NE_2012,1849357,918885,930472,461017,316629,954944,351370,1580753,85754,19133,121095,182001
2013,Nebraska,NE,28,Nebraska_2013,NE_2013,1860865,925180,935685,461915,319142,977990,355972,1584711,87188,19486,125302,189299
2014,Nebraska,NE,28,Nebraska_2014,NE_2014,1872372,931474,940898,462813,321655,1001036,360573,1588669,88623,19839,129509,196597
2015,Nebraska,NE,28,Nebraska_2015,NE_2015,1883881,937769,946112,463711,324168,1024082,365175,1592627,90057,20193,133716,203895
2016,Nebraska,NE,28,Nebraska_2016,NE_2016,1895388,944063,951325,464608,326680,1047127,369777,1596584,91491,20546,137922,211193
2017,Nebraska,NE,28,Nebraska_2017,NE_2017,1906896,950358,956538,465506,329193,1070173,374378,1600542,92926,20899,142129,218491
2018,Nebraska,NE,28,Nebraska_2018,NE_2018,1918403,956652,961751,466404,331706,1093219,378980,1604500,94360,21252,146336,225789
1970,Nevada,NV,29,Nevada_1970,NV_1970,488738,247798,240940,170149,90649,179096,48844,448177,27762,7933,4866,20505
1971,Nevada,NV,29,Nevada_1971,NV_1971,519913,263524,256389,174714,99716,191390,54094,473665,30106,8574,5940,23842
1972,Nevada,NV,29,Nevada_1972,NV_1972,551089,279250,271839,179279,108783,203684,59343,499152,32450,9215,7014,27180
1973,Nevada,NV,29,Nevada_1973,NV_1973,582265,294977,287288,183844,117851,215977,64593,524640,34794,9856,8088,30517
1974,Nevada,NV,29,Nevada_1974,NV_1974,613440,310703,302737,188409,126918,228271,69842,550127,37138,10497,9162,33855
1975,Nevada,NV,29,Nevada_1975,NV_1975,644616,326429,318187,192974,135985,240565,75092,575615,39483,11139,10236,37192
1976,Nevada,NV,29,Nevada_1976,NV_1976,675791,342155,333636,197539,145052,252859,80341,601103,41827,11780,11310,40529
1977,Nevada,NV,29,Nevada_1977,NV_1977,706966,357881,349085,202104,154119,265153,85591,626590,44171,12421,12384,43867
1978,Nevada,NV,29,Nevada_1978,NV_1978,738142,373608,364534,206669,163187,277446,90840,652078,46515,13062,13458,47204
1979,Nevada,NV,29,Nevada_1979,NV_1979,769318,389334,379984,211234,172254,289740,96090,677565,48859,13703,14532,50542
1980,Nevada,NV,29,Nevada_1980,NV_1980,800493,405060,395433,215799,181321,302034,101339,703053,51203,14344,15606,53879
1981,Nevada,NV,29,Nevada_1981,NV_1981,840627,425742,414885,223914,186142,321270,109302,734017,53960,14873,23118,60933
1982,Nevada,NV,29,Nevada_1982,NV_1982,880761,446424,434337,232029,190962,340505,117265,764981,56717,15403,30631,67987
1983,Nevada,NV,29,Nevada_1983,NV_1983,920895,467106,453789,240144,195783,359741,125227,795946,59473,15932,38143,75041
1984,Nevada,NV,29,Nevada_1984,NV_1984,961029,487788,473241,248259,200604,378976,133190,826910,62230,16461,45656,82095
1985,Nevada,NV,29,Nevada_1985,NV_1985,1001163,508470,492693,256374,205425,398212,141153,857874,64987,16991,53168,89149
1986,Nevada,NV,29,Nevada_1986,NV_1986,1041297,529152,512145,264488,210245,417448,149116,888838,67744,17520,60680,96203
1987,Nevada,NV,29,Nevada_1987,NV_1987,1081431,549834,531597,272603,215066,436683,157079,919802,70501,18049,68193,103257
1988,Nevada,NV,29,Nevada_1988,NV_1988,1121565,570516,551049,280718,219887,455919,165041,950767,73257,18578,75705,110311
1989,Nevada,NV,29,Nevada_1989,NV_1989,1161699,591198,570501,288833,224707,475154,173004,981731,76014,19108,83218,117365
1990,Nevada,NV,29,Nevada_1990,NV_1990,1201833,611880,589953,296948,229528,494390,180967,1012695,78771,19637,90730,124419
1991,Nevada,NV,29,Nevada_1991,NV_1991,1281475,652497,628978,318433,239419,530346,193277,1061614,84442,20315,107462,151374
1992,Nevada,NV,29,Nevada_1992,NV_1992,1361118,693114,668004,339918,249309,566303,205588,1110533,90112,20994,124193,178329
1993,Nevada,NV,29,Nevada_1993,NV_1993,1440760,733731,707029,361403,259200,602259,217898,1159452,95783,21672,140925,205284
1994,Nevada,NV,29,Nevada_1994,NV_1994,1520402,774348,746054,382888,269090,638215,230209,1208371,101453,22350,157656,232239
1995,Nevada,NV,29,Nevada_1995,NV_1995,1600046,814966,785080,404374,278981,674172,242519,1257291,107124,23029,174388,259195
1996,Nevada,NV,29,Nevada_1996,NV_1996,1679688,855583,824105,425859,288872,710128,254829,1306210,112795,23707,191120,286150
